districts,males,females,literacy_rate_males,literacy_rate_females,literacy_rate_avg,gender_gap
ADILABAD,228689,165802,73.48,53.4,63.44,20.080000000000005
BHADRADRI,351411,287288,73.56,59.33,66.445,14.230000000000004
HYDERABAD,1542688,1349467,86.99,79.35,83.16999999999999,7.640000000000001
JAGTIAL ,307947,229689,70.6,50.38,60.489999999999995,20.21999999999999
JANGAON ,181739,132395,71.21,51.69,61.449999999999996,19.519999999999996
JAYASHANKAR ,223575,164672,70.05,50.76,60.405,19.29
JOGULAMBA ,159704,102751,60.05,39.48,49.765,20.57
KAMAREDDY ,283542,203017,67.37,46.13,56.75,21.240000000000002
KARIMNAGAR ,357364,276616,77.94,60.38,69.16,17.559999999999995
KHAMMAM ,462275,370045,73.69,58.31,66.0,15.379999999999995
KOMARAM BHEEM ,147911,107091,65.99,47.5,56.745,18.489999999999995
MAHABUBABAD,229809,166389,66.52,47.81,57.165,18.709999999999994
MAHABUBNAGAR,429914,302794,66.77,46.83,56.8,19.939999999999998
MANCHERIAL ,269729,202127,72.96,55.59,64.275,17.36999999999999
MEDAK ,223069,154915,67.51,45.15,56.33,22.360000000000007
MEDCHAL,961188,816500,87.44,77.34,82.39,10.099999999999994
NAGARKURNOOL ,247538,162621,64.85,43.64,54.245,21.209999999999994
NALGONDA ,534573,381169,73.9,53.46,63.68000000000001,20.440000000000005
NIRMAL ,210021,151977,69.03,47.14,58.085,21.89
NIZAMABAD ,504933,395503,74.08,54.95,64.515,19.129999999999995
PEDDAPALLI ,268587,208774,73.68,57.36,65.52000000000001,16.320000000000007
RAJANNA ,182946,132665,73.47,52.17,62.82,21.299999999999997
RANGAREDDY ,866798,677161,78.94,64.63,71.785,14.310000000000002
SANGAREDDY ,494705,359255,73.02,54.84,63.93,18.179999999999993
SIDDIPET ,326013,233560,72.3,51.08,61.69,21.22
SURYAPET ,362596,271717,73.39,54.85,64.12,18.54
VIKARABAD ,273236,197138,67.58,48.32,57.95,19.259999999999998
WANAPARTHY ,168792,112539,65.73,45.27,55.5,20.46
WARANGAL (R) ,233711,165359,71.9,50.67,61.285000000000004,21.230000000000004
WARANGAL (U),412868,333592,84.4,67.98,76.19,16.42
YADADRI ,253858,180461,75.82,55.02,65.42,20.79999999999999
